Dataset,Model,Epoch,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Layer,Activation Ratio,Neuron Count,Active Count
FashionMNIST,784=>256=>128=>64=>10,4,0.8843666666666666,0.861,0.3129625227183167,0.3827495746741629,1,0.2737,256,70.08
FashionMNIST,784=>256=>128=>64=>10,4,0.8843666666666666,0.861,0.3129625227183167,0.3827495746741629,2,0.4482,128,57.37
FashionMNIST,784=>256=>128=>64=>10,4,0.8843666666666666,0.861,0.3129625227183167,0.3827495746741629,3,0.4996,64,31.97
FashionMNIST,784=>256=>128=>64=>10,4,0.8843666666666666,0.861,0.3129625227183167,0.3827495746741629,4,0.2448,10,2.45
FashionMNIST,784=>256=>128=>64=>10,5,0.8908666666666667,0.8742,0.29532445139531643,0.3458209231875505,1,0.2492,256,63.8
FashionMNIST,784=>256=>128=>64=>10,5,0.8908666666666667,0.8742,0.29532445139531643,0.3458209231875505,2,0.4266,128,54.61
FashionMNIST,784=>256=>128=>64=>10,5,0.8908666666666667,0.8742,0.29532445139531643,0.3458209231875505,3,0.4806,64,30.76
FashionMNIST,784=>256=>128=>64=>10,5,0.8908666666666667,0.8742,0.29532445139531643,0.3458209231875505,4,0.2407,10,2.41
FashionMNIST,784=>256=>128=>64=>10,6,0.8960333333333333,0.8802,0.28114695701676645,0.34148086047476267,1,0.2312,256,59.19
FashionMNIST,784=>256=>128=>64=>10,6,0.8960333333333333,0.8802,0.28114695701676645,0.34148086047476267,2,0.4026,128,51.53
FashionMNIST,784=>256=>128=>64=>10,6,0.8960333333333333,0.8802,0.28114695701676645,0.34148086047476267,3,0.4634,64,29.66
FashionMNIST,784=>256=>128=>64=>10,6,0.8960333333333333,0.8802,0.28114695701676645,0.34148086047476267,4,0.2326,10,2.33
FashionMNIST,784=>256=>128=>64=>10,7,0.9004666666666666,0.8785,0.26846872170422,0.3378835389758371,1,0.2066,256,52.9
FashionMNIST,784=>256=>128=>64=>10,7,0.9004666666666666,0.8785,0.26846872170422,0.3378835389758371,2,0.3809,128,48.76
FashionMNIST,784=>256=>128=>64=>10,7,0.9004666666666666,0.8785,0.26846872170422,0.3378835389758371,3,0.4586,64,29.35
FashionMNIST,784=>256=>128=>64=>10,7,0.9004666666666666,0.8785,0.26846872170422,0.3378835389758371,4,0.223,10,2.23
FashionMNIST,784=>256=>128=>64=>10,8,0.9045166666666666,0.8837,0.2553261998556316,0.3307166760609408,1,0.1988,256,50.89
FashionMNIST,784=>256=>128=>64=>10,8,0.9045166666666666,0.8837,0.2553261998556316,0.3307166760609408,2,0.3605,128,46.15
FashionMNIST,784=>256=>128=>64=>10,8,0.9045166666666666,0.8837,0.2553261998556316,0.3307166760609408,3,0.443,64,28.35
FashionMNIST,784=>256=>128=>64=>10,8,0.9045166666666666,0.8837,0.2553261998556316,0.3307166760609408,4,0.2173,10,2.17
FashionMNIST,784=>256=>128=>64=>10,9,0.90785,0.8816,0.24633726002628614,0.3357330195748123,1,0.1886,256,48.28
FashionMNIST,784=>256=>128=>64=>10,9,0.90785,0.8816,0.24633726002628614,0.3357330195748123,2,0.3483,128,44.59
FashionMNIST,784=>256=>128=>64=>10,9,0.90785,0.8816,0.24633726002628614,0.3357330195748123,3,0.4321,64,27.65
FashionMNIST,784=>256=>128=>64=>10,9,0.90785,0.8816,0.24633726002628614,0.3357330195748123,4,0.2137,10,2.14
